params,total_return,cagr,max_drawdown,sharpe_ratio,num_trades,final_value,benchmark_return,benchmark_max_drawdown,excess_return,success,error,equity_symbol,equity_allocation,leap_allocation,leap_delta,leap_expiration_months
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.5, 'leap_expiration_months': 12}",1890.91,111.34,84.85,1.18,383,1990908.34,766.26689,73.63221706393298,1124.64311,True,,TSLA,65,25,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.5, 'leap_expiration_months': 18}",1665.35,105.08,82.22,1.17,340,1765347.92,766.26689,73.63221706393298,899.0831099999999,True,,TSLA,65,25,0.5,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.6, 'leap_expiration_months': 12}",1320.73,94.23,83.54,1.14,320,1420732.31,766.26689,73.63221706393298,554.46311,True,,TSLA,65,25,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.6, 'leap_expiration_months': 18}",1039.42,83.8,81.63,1.1,301,1139415.66,766.26689,73.63221706393298,273.1531100000001,True,,TSLA,65,25,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 12}",923.68,78.94,72.32,1.11,308,1023679.69,94.19219,35.11874054109334,829.48781,True,,QQQ,60,30,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 18}",599.03,62.66,62.74,1.02,273,699029.63,94.19217,35.11875142809732,504.83782999999994,True,,QQQ,60,30,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 12}",697.36,68.1,66.73,1.08,256,797357.05,94.19214000000001,35.11870428231587,603.16786,True,,QQQ,60,30,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 18}",358.14,46.34,63.59,0.92,200,458137.56,94.19220999999999,35.11873337774594,263.94779,True,,QQQ,60,30,0.5,18
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 12}",518.77,57.77,65.08,1.04,190,618774.93,94.19219,35.11874054109334,424.57781,True,,QQQ,60,30,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2023-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 18}",327.29,43.81,61.11,0.92,152,427289.81,94.19217,35.11875142809732,233.09783000000002,True,,QQQ,60,30,0.6,18
