params,total_return,cagr,max_drawdown,sharpe_ratio,num_trades,final_value,benchmark_return,benchmark_max_drawdown,excess_return,success,error,equity_symbol,equity_allocation,leap_allocation,leap_delta,leap_expiration_months
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.6, 'leap_expiration_months': 18}",2142.92,67.95,81.63,0.98,420,2242916.69,1484.26298,73.63221706393298,658.6570200000001,True,,TSLA,65,25,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'TSLA', 'equity_allocation': 65, 'leap_allocation': 25, 'leap_delta': 0.6, 'leap_expiration_months': 12}",3222.81,79.33,84.26,1.04,444,3322809.16,1484.26298,73.63221706393298,1738.54702,True,,TSLA,65,25,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 12}",2834.7,75.65,72.32,1.08,440,2934698.27,196.97448999999997,35.11871775714272,2637.7255099999998,True,,QQQ,60,30,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.4, 'leap_expiration_months': 18}",2552.71,72.72,62.74,1.07,387,2652709.65,196.97448999999997,35.11871775714272,2355.73551,True,,QQQ,60,30,0.4,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 12}",3569.8,82.32,66.73,1.16,354,3669800.09,196.97445,35.1187233426223,3372.82555,True,,QQQ,60,30,0.5,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.5, 'leap_expiration_months': 18}",1720.08,62.2,63.59,1.03,273,1820082.94,196.97445,35.11870929988257,1523.10555,True,,QQQ,60,30,0.5,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 12}",1572.48,59.93,65.08,1.08,257,1672484.59,196.97448999999997,35.11871775714272,1375.50551,True,,QQQ,60,30,0.6,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 30, 'leap_delta': 0.6, 'leap_expiration_months': 18}",1369.7,56.52,61.11,1.03,209,1469701.68,196.97448999999997,35.11871775714272,1172.72551,True,,QQQ,60,30,0.6,18
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 12}",3801.26,84.19,79.41,1.1,509,3901258.04,196.97445,35.1187233426223,3604.28555,True,,QQQ,60,35,0.4,12
"{'start_date': '2020-01-01', 'end_date': '2025-12-31', 'initial_capital': 100000, 'use_simulation': False, 'monthly_withdrawal': 0, 'use_wheel_strategy': False, 'wheel_allocation': 0, 'wheel_ma_short': 10, 'wheel_ma_long': 30, 'rebalance_delta': 5.0, 'equity_down_trigger': 10.0, 'equity_up_trigger': 15.0, 'profit_limit_6m': 100.0, 'loss_limit_6m': 60.0, 'profit_limit_3m': 30.0, 'loss_limit_3m': 20.0, 'profit_limit_0m': 10.0, 'loss_limit_0m': 20.0, 'equity_symbol': 'QQQ', 'equity_allocation': 60, 'leap_allocation': 35, 'leap_delta': 0.4, 'leap_expiration_months': 18}",3656.27,83.03,68.51,1.07,475,3756272.71,196.97445,35.11870929988257,3459.29555,True,,QQQ,60,35,0.4,18
